Month,Rank,Title,Author,Publisher,Sales Point,Publication Month
3월,40,매니악,벵하민 라바투트,문학동네,세일즈 포인트 정보 없음,2024년 1월
3월,41,참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,세일즈 포인트 정보 없음,2018년 6월
3월,42,대여금고,그렉 이건,허블,"5,243",2024년 2월
3월,43,아몬드,손원평,다즐링,세일즈 포인트 정보 없음,2023년 7월
3월,44,바다가 들리는 편의점,마치다 소노코,모모,세일즈 포인트 정보 없음,2023년 3월
3월,45,작별하지 않는다,한강,문학동네,"1,025,288",2021년 9월
3월,46,이방인,알베르 카뮈,민음사,"58,642",2019년 9월
3월,47,데미안,헤르만 헤세,민음사,"103,297",2000년 12월
3월,48,귀신들의 땅,천쓰홍,민음사,세일즈 포인트 정보 없음,2023년 12월
3월,49,회색 인간 (100쇄 기념 에디션),김동식,요다,세일즈 포인트 정보 없음,2017년 12월
3월,50,1984,조지 오웰,민음사,"68,228",2003년 6월
3월,51,난장이가 쏘아올린 작은 공,조세희,이성과힘,"56,644",2024년 2월
3월,52,아버지의 해방일지 (30만부 기념 특별 리커버),정지아,창비,"13,140",2022년 9월
3월,53,멋진 신세계,올더스 헉슬리,(주)태일소담출판사,"39,922",2015년 6월
3월,54,밝은 밤,최은영,문학동네,"50,439",2021년 7월
3월,55,소년이 온다,한강,창비,"1,544,378",2014년 5월
3월,56,광인,이혁진,민음사,"14,256",2023년 11월
3월,57,철도원 삼대,황석영,창비,"26,812",2020년 6월
3월,58,수레바퀴 아래서 (오리지널 초판본 표지디자인),헤르만 헤세,코너스톤,"42,009",2017년 1월
3월,59,모비 딕,허먼 멜빌,작가정신,"8,224",2024년 4월
3월,60,아침 그리고 저녁,욘 포세,문학동네,"32,482",2019년 7월
3월,61,천 개의 파랑,천선란,허블,"37,844",2020년 8월
3월,62,1984 (오리지널 초판본 표지 디자인),조지 오웰,코너스톤,"31,243",2020년 6월
3월,63,종의 기원,정유정,은행나무,"45,907",2016년 5월
3월,64,말하고 싶은 비밀,사쿠라 이이요,모모,"18,718",2023년 12월
3월,65,동물농장,조지 오웰,민음사,"72,757",1998년 8월
3월,66,폴링 인 폴,백수린,문학동네,"4,425",2024년 2월
3월,67,우리가 빛의 속도로 갈 수 없다면,김초엽,허블,세일즈 포인트 정보 없음,2019년 6월
3월,68,싯다르타,헤르만 헤세,민음사,"56,030",2002년 1월
3월,69,탐정은 이미 죽었다 9,니고 쥬우,데이즈엔터(주),세일즈 포인트 정보 없음,2024년 4월
3월,70,심장의 아이,다케미야 유유코,놀,"2,366",2024년 3월
3월,71,채식주의자 (리마스터판),한강,창비,"930,168",2022년 3월
3월,72,카카듀,박서련,안온북스,"1,867",2024년 3월
3월,73,분실물이 돌아왔습니다,김혜정,오리지널스,"9,317",2024년 2월
3월,75,호밀밭의 파수꾼,제롬 데이비드 샐린저,민음사,"74,478",2023년 1월
3월,76,모비딕 (무삭제 완역본),허먼 멜빌,현대지성,세일즈 포인트 정보 없음,2022년 9월
3월,77,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,모모,"44,389",2021년 6월
3월,78,듄 신장판 2,프랭크 허버트,황금가지,세일즈 포인트 정보 없음,2021년 1월
3월,79,티어문 제국 이야기 13,모치츠키 노조무,㈜소미미디어,세일즈 포인트 정보 없음,2024년 4월
3월,80,"오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을",이치조 미사키,모모,세일즈 포인트 정보 없음,2023년 11월
3월,81,잘못된 장소 잘못된 시간,질리언 매캘리스터,시옷북스,세일즈 포인트 정보 없음,2023년 7월
