월,순위,제목,저자,출판사,판매지수,출판 년월
7,65,너의 췌장을 먹고 싶어 (노블판),스미노 요루,소미미디어,"판매지수 2,658",2017년 03월
7,66,해를 품은 달 2,정은궐,파란 (파란미디어),판매지수 822,2011년 10월
7,67,네 입술에 물들어 1~2 세트,아리킴,테라스북,판매지수 276,2024년 07월
7,68,동백꽃 핀 자리 1~3 세트,서은수,파란 (파란미디어),"판매지수 1,818",2024년 04월
7,69,하렘의 남자들 5,알파타르트,해피북스투유,"판매지수 1,032",2024년 04월
7,70,너를 사랑했던 한 사람의 나에게,오토노 요모지,모모,"판매지수 1,662",2022년 10월
7,71,재혼황후 6,알파타르트,해피북스투유,"판매지수 1,188",2021년 12월
7,72,내가 죽기 일주일 전,서은채,황금가지,"판매지수 1,914",2018년 03월
7,73,이상한 나라의 흰 토끼,명윤,디앤씨미디어(D&C미디어),판매지수 684,2017년 01월
7,74,해를 품은 달 1,정은궐,파란 (파란미디어),판매지수 828,2011년 10월
7,75,오피스 누나 이야기,팔메이로,에이템포미디어,"판매지수 1,008",2021년 10월
7,76,내 아이가 분명해 6,한민트,파란 (파란미디어),판매지수 852,2023년 09월
7,77,내 아이가 분명해 5,한민트,파란 (파란미디어),판매지수 828,2023년 09월
7,78,예민한 닥터 허스키,류재현,마롱,판매지수 552,2024년 02월
7,79,다정한 사신은 너를 위한 거짓말을 할 거야,모치즈키 쿠라게,북스토리,판매지수 870,2023년 03월
7,80,악녀라서 편하고 좋은데요? 3,망고킴,연담,판매지수 528,2023년 01월
7,81,재혼황후 4 (일반판),알파타르트,해피북스투유,판매지수 918,2020년 09월
7,82,악역의 엔딩은 죽음뿐 5 외전,권겨을,디앤씨미디어(D&C미디어),판매지수 774,2020년 09월
7,83,재혼황후 1 (일반판),알파타르트,해피북스투유,"판매지수 1,020",2019년 10월
7,84,밤하늘은 올려다보는 그대에게 상냥하게,마쿠라기 미루타,제우미디어,"판매지수 1,350",2019년 01월
7,85,"그 여름, 나는",최수현,가하,"판매지수 1,332",2018년 01월
7,86,러브 어페어 2,이유진,파란 (파란미디어),판매지수 342,2024년 07월
7,87,러브 어페어 1,이유진,파란 (파란미디어),판매지수 312,2024년 07월
7,88,그린라이트 1~2 세트,이여운,테라스북,판매지수 558,2024년 06월
7,89,캘큐레이티드,노바 맥비,사유와공감,판매지수 312,2024년 06월
7,90,족쇄 : 두 남매 이야기,전혜진,고즈넉이엔티,"판매지수 1,314",2024년 05월
7,91,주인공의 구원자가 될 운명입니다 5,은소로,연담,판매지수 234,2024년 04월
