월,순위,제목,저자,출판사,판매지수,출판 년월
3,84,도로시 죽이기,고바야시 야스미,검은숲,"판매지수 1,272",2018년 05월
3,85,명탐정 코난 8,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 2,496",1997년 05월
3,86,일곱명의 술래잡기,미쓰다 신조,북로드,"판매지수 1,242",2024년 01월
3,87,붕괴하는 악마의 영토 세트,랜섬 릭스,폴라북스,판매지수 570,2023년 11월
3,88,네가 사라진 날,할런 코벤,비채,"판매지수 1,050",2023년 08월
3,89,7시 45분 열차에서의 고백,리사 엉거,황금시간,판매지수 258,2023년 02월
3,90,아무에게도 말하지 마,할런 코벤,비채,판매지수 936,2022년 09월
3,91,살인자의 쇼핑목록,강지영,네오픽션,판매지수 912,2022년 05월
3,92,밀어줄까?,유키 슌,제우미디어,판매지수 300,2019년 07월
3,93,아름다운 흉기,히가시노 게이고,알에이치코리아(RHK),판매지수 366,2018년 03월
3,94,마인드헌터,존 더글러스,비채,"판매지수 1,044",2017년 11월
3,95,에드거 앨런 포 소설 전집,에드가 앨런 포,코너스톤(도서),"판매지수 1,500",2015년 06월
3,96,내일,기욤 뮈소,밝은세상,판매지수 228,2013년 12월
3,97,나를 찾아줘,길리언 플린,푸른숲,"판매지수 2,814",2013년 03월
3,98,명탐정 코난 20,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 2,229",1998년 10월
3,99,정의가 잠든 사이에,스테이시 에이브럼스,비채,판매지수 414,2024년 03월
3,100,더블,정해연,해피북스투유,"판매지수 2,670",2023년 01월
4,1,잘못된 장소 잘못된 시간,질리언 매캘리스터,시옷북스,"판매지수 29,916",2023년 07월
4,2,"칵테일, 러브, 좀비",조예은,안전가옥,"판매지수 48,930",2020년 04월
4,3,직장 상사 악령 퇴치부,이사구,황금가지,"판매지수 9,078",2024년 02월
4,4,[예스리커버] 트로피컬 나이트,조예은,한겨레출판,"판매지수 10,269",2023년 08월
4,5,이웃집 소시오패스의 사정,조예은,&(앤드),"판매지수 4,410",2024년 04월
4,6,살육에 이르는 병,아비코 다케마루,검은숲,"판매지수 10,866",2016년 07월
4,7,검은 집,기시 유스케,창해(새우와 고래),"판매지수 3,972",2004년 08월
4,8,봉제인형 살인사건,다니엘 콜,북플라자,"판매지수 7,662",2017년 10월
4,9,붉은 옷의 어둠,미쓰다 신조,비채,"판매지수 1,962",2024년 04월
