월,순위,제목,저자,출판사,판매지수,출판 년월
8,52,누굴 죽였을까,정해연,북다,"판매지수 5,076",2024년 02월
8,53,직장 상사 악령 퇴치부,이사구,황금가지,"판매지수 9,078",2024년 02월
8,54,금단의 마술,히가시노 게이고,재인,"판매지수 22,164",2024년 02월
8,55,밤은 눈을 감지 않는다,메리 쿠비카,해피북스투유,"판매지수 1,242",2024년 07월
8,56,졸업,히가시노 게이고,현대문학,"판매지수 3,996",2019년 07월
8,57,이상한 집,우케쓰,리드비(READbie),"판매지수 5,514",2022년 10월
8,58,내가 대답하는 너의 수수께끼,가미시로 교스케,블루홀6,판매지수 918,2024년 08월
8,59,붉은 손가락,히가시노 게이고,현대문학,"판매지수 4,086",2019년 07월
8,60,아침이 온다,츠지무라 미즈키,몽실북스,"판매지수 3,066",2017년 11월
8,61,점과 선,마쓰모토 세이초,모비딕,판매지수 984,2012년 09월
8,62,테디베어는 죽지 않아,조예은,안전가옥,"판매지수 6,048",2023년 06월
8,63,애크로이드 살인 사건,애거사 크리스티,황금가지,"판매지수 4,800",2013년 12월
8,64,모래시계 외,"로버트 바,  E. P. 버틀러",코너스톤(도서),"판매지수 3,714",2017년 07월
8,65,봄철 한정 딸기 타르트 사건,요네자와 호노부,엘릭시르,"판매지수 3,720",2016년 04월
8,66,벚꽃 지는 계절에 그대를 그리워하네,우타노 쇼고,한스미디어,"판매지수 4,254",2019년 03월
8,67,장미의 이름 세트,움베르토 에코,열린책들,"판매지수 7,062",2006년 04월
8,68,둘 중 누군가 그녀를 죽였다,히가시노 게이고,현대문학,"판매지수 2,772",2019년 07월
8,69,물속의 입,김인숙,문학동네,판매지수 660,2024년 07월
8,70,방황하는 칼날,히가시노 게이고,하빌리스,"판매지수 2,676",2021년 07월
8,71,퇴마록 국내편 1,이우혁,엘릭시르,"판매지수 3,750",2011년 09월
8,72,검은 집,기시 유스케,창해(새우와 고래),"판매지수 3,972",2004년 08월
8,73,명탐정 코난 4,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 3,102",1997년 03월
8,74,파리 마카롱 수수께끼,요네자와 호노부,엘릭시르,"판매지수 2,820",2021년 10월
8,75,바츠먼의 변호인,탕푸루이,글항아리,"판매지수 1,038",2024년 06월
8,76,"칵테일, 러브, 좀비 (10만 부 기념 특별판)",조예은,안전가옥,"판매지수 2,106",2024년 06월
8,77,이웃집 소시오패스의 사정,조예은,&(앤드),"판매지수 4,410",2024년 04월
8,78,살인자의 쇼핑몰 1~2 세트,강지영,자음과모음,"판매지수 2,604",2024년 03월
8,79,얼음나무 숲,하지은,황금가지,"판매지수 5,340",2020년 03월
8,80,이토록 완벽한 실종,줄리안 맥클린,해피북스투유,"판매지수 3,600",2023년 12월
8,81,셜록 홈즈 전집 세트,아서 코난 도일,문예춘추사,"판매지수 5,340",2012년 12월
8,82,흑뢰성,요네자와 호노부,리드비(READbie),"판매지수 2,448",2022년 09월
8,83,시체 한 구가 더 있다,엘리스 피터스,북하우스,판매지수 720,2024년 08월
8,84,열린 어둠,렌죠 미키히코,모모,"판매지수 1,944",2022년 12월
8,85,잠자는 숲,히가시노 게이고,현대문학,"판매지수 3,372",2019년 07월
8,86,매스커레이드 게임,히가시노 게이고,현대문학,"판매지수 5,460",2023년 06월
8,87,살인자의 사랑법,마이크 오머,북로드,"판매지수 1,194",2020년 02월
8,88,편지,히가시노 게이고,알에이치코리아(RHK),"판매지수 4,242",2019년 04월
8,89,퇴마록 국내편 2,이우혁,엘릭시르,"판매지수 2,298",2011년 09월
8,90,성 베드로 축일,엘리스 피터스,북하우스,판매지수 540,2024년 08월
8,91,영원한 우정으로 1,넬레 노이하우스,북로드,"판매지수 2,574",2022년 07월
8,92,유성의 인연 2,히가시노 게이고,현대문학,"판매지수 2,490",2020년 01월
8,93,수도사의 두건,엘리스 피터스,북하우스,판매지수 660,2024년 08월
8,94,여고생 핍의 사건 파일,홀리 잭슨,북레시피,판매지수 906,2023년 04월
8,95,기도의 막이 내릴 때,히가시노 게이고,재인,"판매지수 2,046",2019년 08월
8,96,내가 그를 죽였다,히가시노 게이고,현대문학,"판매지수 2,430",2019년 07월
8,97,명탐정 코난 8,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 2,496",1997년 05월
8,98,누가 제이슨 벨을 죽였나,홀리 잭슨,북레시피,판매지수 480,2024년 08월
8,99,기암관의 살인,다카노 유시,허밍북스,판매지수 930,2024년 09월
8,100,달콤한 살인 계획,김서진,나무옆의자,"판매지수 1,752",2024년 06월
9,1,당신이 누군가를 죽였다,히가시노 게이고,북다,"판매지수 139,488",2024년 07월
9,2,백설공주에게 죽음을 (특별판),넬레 노이하우스,북로드,"판매지수 39,837",2024년 05월
9,3,용의자 X의 헌신,히가시노 게이고,재인,"판매지수 48,414",2017년 08월
9,4,카스트라토,표창원,&(앤드),"판매지수 11,406",2024년 09월
9,5,아이가 없는 집,알렉스 안도릴,필름,"판매지수 43,044",2024년 06월
9,6,"칵테일, 러브, 좀비",조예은,안전가옥,"판매지수 48,930",2020년 04월
9,7,홀리,스티븐 킹,황금가지,"판매지수 6,810",2024년 08월
9,8,가연물 可燃物,요네자와 호노부,리드비(READbie),"판매지수 10,740",2024년 08월
9,9,히든 픽처스,제이슨 르쿨락,문학수첩,"판매지수 25,368",2024년 05월
9,10,악의,히가시노 게이고,현대문학,"판매지수 30,816",2019년 07월
9,11,청과 부동명왕,미야베 미유키,북스피어,"판매지수 4,758",2024년 09월
9,12,카지노,김진명,새움,"판매지수 20,130",2022년 12월
9,13,그리고 아무도 없었다,애거사 크리스티,황금가지,"판매지수 24,378",2013년 12월
9,14,숨겨진 건 죽음,앤터니 호로비츠,열린책들,"판매지수 2,964",2024년 08월
9,15,돌이킬 수 있는,문목하,아작,"판매지수 21,552",2018년 12월
9,16,살인 재능,피터 스완슨,푸른숲,"판매지수 3,126",2024년 08월
